Wind_Direction,Wind_Speed,Cloud_Base_Height,Temperature,Pressure,NotWeekend,InOperatingHours,NotHoliday
130,10,150,19.5,1002.8,1,1,1
120,11,100,18.8,1002.5,1,1,1
110,10,30,17.7,1002.2,1,1,1
100,9,20,17.3,1001.9,1,0,1
90,9,250,17.4,997.5,1,0,1
90,9,250,17.3,994.4,1,0,1
90,11,100,18.2,993.8,1,0,1
90,13,150,18.5,992.5,1,1,1
120,14,30,17.7,993.4,1,1,1
160,16,20,17.7,993.5,1,1,1
180,19,30,17.2,993.7,1,1,1
190,17,100,16.6,993.3,1,1,1
180,22,100,16.4,994.4,1,1,1
190,23,60,16.8,994.9,1,1,1
190,24,60,18.6,995.6,1,1,1
190,25,60,18.4,996.0,1,1,1
180,25,60,18.6,996.3,1,1,1
190,26,60,18.5,996.3,1,1,1
190,32,60,17.7,996.3,1,1,1
180,35,60,17.3,996.2,1,1,1
200,30,60,16.8,997.2,1,1,1
200,27,60,16.6,998.0,1,0,1
210,20,150,16.1,999.0,1,0,1
200,25,30,16.4,1000.3,1,0,1
210,20,30,16.3,1002.6,1,0,1
210,20,30,16.0,1003.1,1,0,1
200,18,100,16.3,1003.9,1,0,1
200,17,30,16.2,1004.6,1,1,1
180,17,60,16.6,1005.0,1,1,1
180,22,60,16.4,1005.5,1,1,1
180,22,60,17.0,1006.0,1,1,1
200,20,30,18.2,1006.9,1,1,1
180,21,150,18.7,1007.2,1,1,1
180,20,250,18.1,1007.4,1,1,1
180,18,100,19.1,1007.8,1,1,1
190,19,30,17.7,1007.8,1,1,1
170,10,100,17.0,1007.5,1,1,1
150,12,150,16.8,1007.4,1,1,1
150,11,10,15.2,1006.5,1,1,1
110,12,100,15.7,1005.7,1,1,1
120,9,30,15.6,1005.7,1,1,1
140,16,20,16.1,1004.9,1,0,1
170,16,5,16.4,1004.2,1,0,1
180,18,10,16.6,1003.9,1,0,1
180,20,5,16.8,1002.9,1,0,1
180,24,5,16.9,1002.6,1,0,1
180,26,10,17.0,1002.5,1,0,1
180,25,10,17.0,1003.1,1,1,1
190,24,10,17.0,1003.8,1,1,1
190,24,10,17.1,1003.9,1,1,1
190,28,5,17.2,1004.3,1,1,1
200,18,10,17.3,1005.0,1,1,1
180,14,100,17.0,1005.9,1,1,1
170,14,100,17.4,1005.9,1,1,1
170,15,150,19.6,1005.8,1,1,1
170,15,150,19.4,1005.8,1,1,1
170,14,150,19.7,1006.0,1,1,1
180,12,250,19.0,1005.9,1,1,1
190,10,100,18.9,1006.1,1,1,1
160,6,150,18.1,1006.1,1,1,1
140,8,250,17.7,1005.5,1,1,1
180,7,20,17.5,1006.3,1,0,1
170,13,5,16.8,1005.6,0,0,1
180,16,5,16.8,1005.7,0,0,1
190,14,5,16.9,1006.3,0,1,1
200,12,5,17.1,1007.0,0,1,1
210,7,5,17.3,1007.2,0,1,1
200,8,5,17.6,1007.7,0,1,1
